,Date,valor
0,2003-12-29,0.015271123565393603
1,2004-01-05,0.01511894028712116
2,2004-01-26,0.004601050573214217
3,2004-02-02,0.005118397543974433
4,2004-02-23,0.0016991584641216156
5,2004-03-01,0.004522353775567735
6,2004-03-29,0.0012795861530987198
7,2004-04-05,0.0010792337440417303
8,2004-04-26,0.003637852380395368
9,2004-05-03,0.005654063617831455
10,2004-05-31,0.002994266226443294
11,2004-06-28,0.0034215887762971946
12,2004-07-05,0.0015403759725511042
13,2004-07-26,0.0010390091852314357
14,2004-08-02,0.0063931462028586185
15,2004-08-30,0.014529944644101504
16,2004-09-06,0.04141469918786785
17,2004-09-27,0.0027088328289583165
18,2004-10-04,0.0013062831167284788
19,2004-10-25,0.004259472890229834
20,2004-11-01,0.0027815202746751273
21,2004-11-29,0.012104355187054425
22,2004-12-06,0.006967741935483871
